#       # k              E            BS weight       TS weight
      1.5479859     -2.7716114       0.0627844       0.0095002
      1.5684638     -2.7711339       0.0641174       0.0094548
      1.5889418     -2.7707564       0.0652152       0.0094255
      1.6094198     -2.7704836       0.0660337       0.0094079
      1.6298978     -2.7703186       0.0665390       0.0093987
      1.6503757     -2.7702633       0.0667099       0.0093958
      1.6503757     -2.7702633       0.0667099       0.0093958
      1.6754348     -2.7702751       0.0666559       0.0093655
      1.7004939     -2.7703099       0.0664934       0.0092752
      1.7255530     -2.7703672       0.0662208       0.0091266
      1.7506120     -2.7704454       0.0658355       0.0089227
      1.7756711     -2.7705429       0.0653335       0.0086674
      1.8007302     -2.7706572       0.0647099       0.0083653
      1.8257892     -2.7707855       0.0639583       0.0080217
      1.8508483     -2.7709245       0.0630707       0.0076423
      1.8759074     -2.7710705       0.0620372       0.0072330
      1.9009665     -2.7712196       0.0608453       0.0068001
      1.9260255     -2.7713673       0.0594794       0.0063498
      1.9510846     -2.7715092       0.0579195       0.0058884
      1.9761437     -2.7716405       0.0561402       0.0054220
      2.0012027     -2.7717565       0.0541085       0.0049570
      2.0262618     -2.7718522       0.0517817       0.0044994
      2.0513209     -2.7719229       0.0491044       0.0040552
      2.0763800     -2.7719639       0.0460043       0.0036304
      2.1014390     -2.7719708       0.0423889       0.0032306
      2.1264981     -2.7719394       0.0381413       0.0028611
      2.1515572     -2.7718661       0.0331225       0.0025273
      2.1766162     -2.7717482       0.0271894       0.0022343
      2.2016753     -2.7715841       0.0202624       0.0019866
      2.2267344     -2.7713754       0.0125277       0.0017851
      2.2517935     -2.7711329       0.0049827       0.0016028
      2.2768525     -2.7709423       0.0007808       0.0011781
      2.2768525     -2.7709423       0.0007808       0.0011781
      2.3092146     -2.7711715       0.0042757       0.0015694
      2.3415767     -2.7715691       0.0108520       0.0017588
      2.3739388     -2.7720503       0.0174605       0.0019516
      2.4063009     -2.7725927       0.0229494       0.0021772
      2.4386630     -2.7731811       0.0270896       0.0024308
      2.4710251     -2.7738015       0.0300048       0.0027027
      2.5033871     -2.7744413       0.0319201       0.0029840
      2.5357492     -2.7750896       0.0330665       0.0032695
      2.5681113     -2.7757382       0.0336498       0.0035588
      2.6004734     -2.7763826       0.0338459       0.0038570
      2.6328355     -2.7770225       0.0338063       0.0041751
      2.6651976     -2.7776621       0.0336649       0.0045309
      2.6975597     -2.7783091       0.0335424       0.0049493
      2.7299217     -2.7789734       0.0335424       0.0054605
      2.7622838     -2.7796639       0.0337402       0.0060963
      2.7946459     -2.7803845       0.0341704       0.0068834
      2.8270080     -2.7811314       0.0348211       0.0078337
      2.8593701     -2.7818908       0.0356390       0.0089354
      2.8917322     -2.7826400       0.0365452       0.0101476
      2.9240943     -2.7833501       0.0374546       0.0114014
      2.9564564     -2.7839887       0.0382903       0.0126082
      2.9888184     -2.7845244       0.0389924       0.0136724
      3.0211805     -2.7849293       0.0395192       0.0145050
      3.0535426     -2.7851814       0.0398445       0.0150349
      3.0859047     -2.7852670       0.0399543       0.0152168
 
      0.0000000     -2.7708955       0.0010556       0.0016290
      0.0204780     -2.7709634       0.0010094       0.0016447
      0.0409560     -2.7711652       0.0009200       0.0017268
      0.0614339     -2.7714991       0.0008642       0.0019284
      0.0819119     -2.7719785       0.0007853       0.0020277
      0.1023899     -2.7726738       0.0003950       0.0009600
      0.1228679     -2.7735042       0.0015517       0.0016796
      0.1433459     -2.7744135       0.0031544       0.0017566
      0.1638238     -2.7754056       0.0051319       0.0017676
      0.1843018     -2.7764646       0.0072896       0.0017884
      0.2047798     -2.7775714       0.0094213       0.0018394
      0.2252578     -2.7787059       0.0113641       0.0019303
      0.2457358     -2.7798480       0.0130061       0.0020631
      0.2662137     -2.7809780       0.0142784       0.0022318
