# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.27128790    0.02486202    0.06923468    0.00000002    6.14783137   -0.50069373    0.03749733    0.40137910
   -0.17829652   -0.05796395    0.06787555    0.00000003    5.89927727   -0.32906721   -0.08742222    0.31155384
   -0.21504497   -0.12026831    0.12702300    0.00000004    5.85055792   -0.39689079   -0.18139072    0.47216368
   -0.23006983    0.00046706    0.18528800    0.00000002    6.15428949   -0.42462093    0.00070443    0.61058359
   -0.22966850    0.00046851    0.18586894    0.00000002    6.15219045   -0.42388023    0.00070662    0.61144857
   -0.21589711    0.00044154    0.20943411    0.00000002    6.06153960   -0.39846351    0.00066594    0.64887910
   -0.20722235    0.00037958    0.22773572    0.00000003    5.99145892   -0.38245322    0.00057249    0.67983788
   -0.19785287    0.00028777   -0.21769355    0.00000002    5.91246812   -0.36516075    0.00043402   -0.27975589
   -0.18862573    0.00014889   -0.19083268    0.00000003    5.84105069   -0.34813097    0.00022456   -0.23104244
   -0.18739006    0.00012234   -0.18674726    0.00000002    5.83266382   -0.34585039    0.00018452   -0.22347655
   -0.18343407   -0.00011988   -0.00836664    0.00000002    5.90475215   -0.33854915   -0.00018080    0.15360578
   -0.19895785   -0.04460941    0.12140347    0.00000004    5.96996039   -0.36720011   -0.06728067    0.44513046
   -0.21863198    0.00003114    0.06843689    0.00000003    5.98174166   -0.40351103    0.00004696    0.35045580
   -0.21588648    0.00002222    0.06779620    0.00000002    5.97081916   -0.39844389    0.00003352    0.34652179
   -0.19807586   -0.04340216    0.12012626    0.00000004    5.96839602   -0.36557230   -0.06545988    0.44157962
   -0.21880536    0.00045660    0.20389992    0.00000002    6.08324723   -0.40383103    0.00068865    0.63978403
   -0.19745463    0.00028312   -0.21663194    0.00000002    5.90917422   -0.36442575    0.00042701   -0.27786198
   -0.19568446    0.00026142   -0.21182218    0.00000003    5.89469395   -0.36115869    0.00039428   -0.26924950
